	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000086589	33.17743	35.55686	33.76524	26.83024	32.02459	35.99192	38.317438	33.86348	34.84333
ENSG00000086598	205.480462	207.23467	220.184968	198.276784	214.043093	217.87981	270.80918	222.6802575902	219.136716
ENSG00000086619	3.7426991	2.3014184	5.2164171	3.029154	4.1809412	4.1993208	4.812175	3.637818	4.2598338
ENSG00000086666	77.929845	93.761931	92.957159	84.06787	98.94714	103.107681084469	83.783915	94.884016	98.47681
ENSG00000086696	4.61329185	4.4081564	3.717083	6.2135166	3.7718089	5.3545541	5.5492187	7.762291	4.094033
ENSG00000086712	10.8214	8.72624	9.80224	9.88754	10.6725	9.36522	9.68011	9.17051	9.64369
ENSG00000086717	0	0	0	0	0	0.11408900526749	0	0	0
ENSG00000086730	2.323718	1.098588	1.607329	0.92361	0.575213	1.3988571	0.550247	1.7293671	1.61837
ENSG00000086758	48.325875	64.829342	54.8688405	59.370669063	43.6602408596	55.387346	63.069698759	56.3805969	42.343996
ENSG00000086827	15.531854	11.1549	15.8649	14.89745	13.3353	13.877	13.299	13.2066	16.055562
ENSG00000086848	18.196846	20.629328	19.626714	25.72792517	19.635352	20.744148433373	19.952311	24.694055	23.157805
ENSG00000086967	0.191161	0	0.0841832	0.0793413	0	0	0	0	0.0704605
ENSG00000086991	16.977798	14.189262	9.68199	7.582951523	15.62747611	14.43894419	11.8040759	10.621034	10.77386664
ENSG00000087008	25.61874	41.49423	27.617001	30.39039	25.13658	28.06701	29.735833	24.542534	19.045587
ENSG00000087053	41.627418	36.981835	35.0839150009786	38.196073	42.552673	36.3069621	34.97668697525	37.1367810032502	37.7642250005312
ENSG00000087074	45.86291	47.62848	44.82979	50.78681	46.92777	52.17229	49.16678	58.92824	50.889754
ENSG00000087076	12.02261	7.37451	14.18668	11.98608	12.696585	11.483961	10.305028	12.17358	9.68686
ENSG00000087077	118.115387	110.963835	126.84357	123.658619	125.539183	133.755438	142.761435	134.406377	144.348224
ENSG00000087085	1.235578801	2.47367827788	0.61279450683	0.980759849436	1.327659	1.60584160282	2.309832	1.910030647645	2.873496
ENSG00000087086	2312.62	2253.15	2364.37	2353.84	2220.85	2307.09	2214.07	2175.71	2246.11
ENSG00000087087	108.865343	111.974928	102.42287323	108.12458	85.7991285	97.9292264	108.194937	92.563336245	112.582
ENSG00000087088	264.19772	257.11553	267.46069	292.19822	293.00536	307.04397	333.7908	299.72782	298.71211
ENSG00000087095	11.78895	11.10239	13.03244	8.349714	9.600013	10.701307	15.832695	10.509417	12.65986
ENSG00000087111	85.903637	66.1047475	70.334794	68.051195	68.216199	82.693142	69.269908	61.63555221344	66.598015
ENSG00000087116	4.048572	5.566874	6.26349	6.130471	6.594326	5.016932	6.63545	5.649243	4.921747
ENSG00000087128	0	0	0.151903	0	0	0.145317	0	0	0.127238
ENSG00000087152	52.73577	51.32507	52.77951	59.22428881249	66.69873	57.774472	51.54468	57.80557259265	64.88085911
ENSG00000087157	31.66766697	30.008059	31.20732	28.74301	29.915802	27.882266	31.19982	34.222237	28.89673
